party,name,region,contact
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Πολάκης Πέτρου Παύλος,ΧΑΝΙΩΝ,"pavlos.polakis@gmail.com
p.polakis@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Πουλάς Θεοδοσίου Ανδρέας,ΑΡΓΟΛΙΔΟΣ,"a.poulas@parliament.gr
andreaspoulas@gmail.com"
ΑΝΕΞΑΡΤΗΤΟΙ,Πούλου Λεωνίδα Παναγιού (Γιώτα),ΒΟΙΩΤΙΑΣ,"yotapoulou@gmail.com
iotap@otenet.gr
p.poulou@parliament.gr
www.yotapoulou.gr"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Ρακοβαλής Παντελή Αθανάσιος,ΕΠΙΚΡΑΤΕΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ράπτη Δημητρίου Ελένη,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"e.rapti@parliament.gr
thessaloniki@elenarapti.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ράπτη Γεωργίου Ζωή,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"zoerapti@gmail.com
z.rapti@parliament.gr"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Ρούντας Ναπολέοντος Γεώργιος,ΛΑΡΙΣΑΣ,"g.rountas@parliament.gr
nikh@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ρουσόπουλος Βασιλείου Θεόδωρος (Θόδωρος),Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"theodoros@roussopoulos.gr
https://www.roussopoulos.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Σαλμάς Γεωργίου Μάριος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,"msalmas@otenet.gr
https://www.msalmas.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Σαμαράς Κωνσταντίνου Αντώνιος,ΜΕΣΣΗΝΙΑΣ,asamaras@parliament.gr
ΑΝΕΞΑΡΤΗΤΟΙ,Σαράκης Κωνσταντίνου Παύλος,ΕΠΙΚΡΑΤΕΙΑΣ,"p.sarakis@parliament.gr
http://www.sarakis.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Σαρακιώτης Αθανασίου Ιωάννης,ΦΘΙΩΤΙΔΑΣ,"ioannissarakiotis@gmail.com
https://sarakiotis.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σενετάκης Γεωργίου Μάξιμος,ΗΡΑΚΛΕΙΟΥ,"senetakis@parliament.gr
maximos@senetakis.gr
http://www.senetakis.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σιμόπουλος Γεωργίου Ευστράτιος (Στράτος),Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"stra_sim@otenet.gr
https://www.efsimopoulos.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σκόνδρα Χρήστου Ασημίνα,ΚΑΡΔΙΤΣΑΣ,asimina.skondra@gmail.com
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σκρέκας Θεοδώρου Κωνσταντίνος,ΤΡΙΚΑΛΩΝ,"info@skrekaskostas.gr
http://skrekaskostas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σκυλακάκης Στεφάνου Θεόδωρος,ΕΠΙΚΡΑΤΕΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σούκουλη - Βιλιάλη Δημητρίου Μαρία Ελένη (Μαριλένα),ΚΟΡΙΝΘΙΑΣ,"m.soukouli@parliament.gr
www.marilenasoukouli.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σπανάκης Νικολάου Βασίλειος - Πέτρος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"info@vspanakis.gr
spanakis@parliament.gr
vs@vspanakis.gr
https://vspanakis.gr/blog/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σπάνιας Γεωργίου Αριστοτέλης (Τέλης),ΚΑΡΔΙΤΣΑΣ,"telisspanias@gmail.com
t.spaniaspolitikografeio@gmail.com"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Σπυριδάκη Νικολάου Αικατερίνη (Κατερίνα),ΛΑΣΙΘΙΟΥ,"k.spyridaki@parliament.gr
spyridaki.katerina@outlook.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σταϊκούρας Κωνσταντίνου Χρήστος,ΦΘΙΩΤΙΔΑΣ,"cstaik@parliament.gr
https://cstaikouras.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σταμάτης Αναστασίου Γεώργιος,ΕΠΙΚΡΑΤΕΙΑΣ,g.stamatis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σταμενίτης Ευαγγέλου Διονύσιος,ΠΕΛΛΗΣ,"d.stamenitis@parliament.gr
stamenitisdionisis@yahoo.gr
http://www.stamenitis.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Σταρακά Δημητρίου Χριστίνα,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,"xstaraka@gmail.com
politicaloffice.staraka@gmail.com
ch.staraka@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Σταυρόπουλος Γεωργίου Αθανάσιος,ΓΡΕΒΕΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Στεφανάδης Ισιδώρου Χριστόδουλος,ΣΑΜΟΥ,"ch.stefanadis@parliament.gr
http://www.stefanadis.gr"
ΣΠΑΡΤΙΑΤΕΣ,Στίγκας Αθανασίου Βασίλειος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"v.stigkas@parliament.gr
www.spartiates.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Στολτίδης Δημητρίου Λεωνίδας,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,l.stoltidis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Στυλιανίδης Στυλιανού Ευριπίδης,ΡΟΔΟΠΗΣ,"stylianidis@e-stylianidis.gr
http://www.e-stylianidis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Στυλιανίδης Μέλη Χρήστος,ΕΠΙΚΡΑΤΕΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Στύλιος Δημοσθένη Γεώργιος,ΑΡΤΑΣ,"stylios@parliament.gr
http://stylios.gr/"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Συντυχάκης Δανιήλ Εμμανουήλ,ΗΡΑΚΛΕΙΟΥ,e.syntychakis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Συρεγγέλα Κωνσταντίνου Μαρία,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"mariasyrengela@gmail.com
m.syreggela@parliament.gr
https://mariasyrengela.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Α' ΑΘΗΝΩΝ,"a@syrigos.gr
syrigos@parliament.gr
https://www.syrigos.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ταγαράς Χρήστου Νικόλαος,ΚΟΡΙΝΘΙΑΣ,"ntagaras@parliament.gr
tagaras2019@gmail.com"
ΑΝΕΞΑΡΤΗΤΟΙ,Τζάκρη Εμμανουήλ Θεοδώρα,ΠΕΛΛΗΣ,"theotzakri@gmail.com
https://theodoratzakri.gr/"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Τζανακόπουλος Μόσχου Δημήτριος,Α' ΑΘΗΝΩΝ,"d.tzanakopoulos@parliament.gr
https://dimitristzanakopoulos.gr/"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Τζούφη Στεφάνου Μερόπη,ΙΩΑΝΝΙΝΩΝ,"m.tzoufi@parliament.gr
http://meropitzoufi.wordpress.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Τραγάκης Παναγιώτη Ιωάννης,Β' ΠΕΙΡΑΙΩΣ,"i.tragakis@gmail.com
http://www.tragakis.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Τριαντόπουλος Γεωργίου Χρήστος,ΜΑΓΝΗΣΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Τσαβδαρίδης Γεωργίου Λάζαρος,ΗΜΑΘΙΑΣ,LazarosTsavdaridis@yahoo.com
ΝΕΑ ΑΡΙΣΤΕΡΑ,Τσακαλώτος Στέφανου Ευκλείδης,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,tsakalot@parliament.gr
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Τσαπανίδου Γεωργίου Παρθένα (Πόπη),ΕΠΙΚΡΑΤΕΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Τσιάρας Αλεξάνδρου Κωνσταντίνος,ΚΑΡΔΙΤΣΑΣ,"politikografeio@kostastsiaras.gr
http://www.kostastsiaras.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Τσιλιγγίρης Γεωργίου Σπυρίδων (Σπύρος),ΞΑΝΘΗΣ,"tsiliggiriss@gmail.com
s.tsiliggiris@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Τσίμαρης Παναγιώτη Ιωάννης,ΙΩΑΝΝΙΝΩΝ,i.tsimaris@parliament.gr
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Τσίπρας Παύλου Αλέξιος,Α' ΠΕΙΡΑΙΩΣ,"alexis.tsipras@syriza.gr
a.tsipras@parliament.gr
www.syriza.gr"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Τσιρώνης Μιχαήλ Σπυρίδων,ΑΧΑΪΑΣ,"s.tsironis@parliament.gr
nikh@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Τσοκάνης Νικολάου Χρήστος,Β΄ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Υψηλάντης Αναστασίου Βασίλειος-Νικόλαος,ΔΩΔΕΚΑΝΗΣΟΥ,"ypsilantismp@gmail.com
ypsilantis@parliament.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Φάμελλος Πέτρου Σωκράτης,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"s.famellos@parliament.gr
sfamellos2001@gmail.com
https://www.famellos.eu/"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Φερχάτ Ναζήφ Οζγκιούρ,ΡΟΔΟΠΗΣ,
ΑΝΕΞΑΡΤΗΤΟΙ,Φλώρος Ευσταθίου Κωνσταντίνος,ΛΑΡΙΣΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Φόρτωμας Αριστοτέλη Φίλιππος,ΚΥΚΛΑΔΩΝ,"fortomas.office@gmail.com
https://www.ffortomas.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Φωτήλας Ασημάκη Ιάσωνας,ΑΧΑΪΑΣ,"i.fotilas@parliament.gr
jfotilas@gmail.com
http://www.fotilas.gr"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Φωτίου Βασιλείου Θεανώ,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"thfotiou@parliament.gr
http://theanofotiou.gr/"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Φωτόπουλος Θεοδώρου Στυλιανός,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"stelios@sfotopoulos
stelios.fotopoulos@gmail.com
www.s-fotopoulos.gr"
ΣΠΑΡΤΙΑΤΕΣ,Χαλκιάς Ευαγγέλου Αθανάσιος,Α' ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χαρακόπουλος Παντελή Μάξιμος,ΛΑΡΙΣΑΣ,"maximos@parliament.gr
enimerosi@maximos.gr
http://www.maximos.gr"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Χαρίτσης Βύρωνα Αλέξανδρος (Αλέξης),ΜΕΣΣΗΝΙΑΣ,"a.charitsis@parliament.gr
info@alexischaritsis.gr
http://www.alexischaritsis.gr/viografiko/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χατζηβασιλείου Γεωργίου Αναστάσιος (Τάσος),ΣΕΡΡΩΝ,"tasoschatziv@gmail.com
chatzivasileiou@parliament.gr
http://www.achatzivasileiou.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χατζηδάκης Διονυσίου Διονύσιος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,d.chatzidakis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χατζηδάκης Ιωάννη Κωνσταντίνος (Κωστής),Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"info@khatzidakis.gr
http://www.khatzidakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χατζηιωαννίδου Βασιλείου Μαρία Νεφέλη,ΕΠΙΚΡΑΤΕΙΑΣ,"m.chatziioannidou@parliament.gr
mn.chatziioannidou@gmail.com
https://www.aboutnefeli.com"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Χήτας Αχιλλέως Κωνσταντίνος,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"chitasbox@gmail.com
k.chitas@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Χνάρης Ιωάννη Εμμανουήλ,ΡΕΘΥΜΝΗΣ,"χnarisman@gmail.com
m.chnaris@parliament.gr
emmanouelchnares@gmail.com
https://www.manolisxnaris.gr/gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Χουρδάκης Κωνσταντίνου Μιχαήλ,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@mchourdakis.gr
https://mchourdakis.gr/"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Χρηστίδης Δημητρίου Παύλος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"pavlos.christidis@parliament.gr
pavloschristidis.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Χρηστίδου Δημητρίου Ραλλία,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"r.christidou@parliament.gr
raliachristidou@gmail.com"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Χριστοδουλάκης Ανέστη Εμμανουήλ (Μανώλης),Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"info@manolischristodoulakis.gr
manolischristodoulakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χρυσομάλλης Παναγιώτη Μιλτιάδης (Μίλτος),ΜΕΣΣΗΝΙΑΣ,"m.chrysomallis@parliament.gr
miltos.chrysomallis@gmail.com
https://miltos.online"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Χρυσοχοΐδης Βασιλείου Μιχαήλ,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"mchrisochoidis@gmail.com
http://www.chrisochoidis.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Ψυχογιός Κωνσταντίνου Γεώργιος,ΚΟΡΙΝΘΙΑΣ,g.psychogios@parliament.gr
